HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	Locus group	Locus type	Gene group ID	Gene group name
HGNC:7477	MT-TC	mitochondrially encoded tRNA-Cys (UGU/C)	Approved	MTTC	trnC	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7478	MT-TD	mitochondrially encoded tRNA-Asp (GAU/C)	Approved	MTTD	trnD	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7479	MT-TE	mitochondrially encoded tRNA-Glu (GAA/G)	Approved	MTTE	trnE	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7480	MT-TER	mitochondrially encoded transcription terminator	Approved	MTTER		mitochondria			other	region	1973	Mitochondrially encoded regions
HGNC:7481	MT-TF	mitochondrially encoded tRNA-Phe (UUU/C)	Approved	MTTF	trnF	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7482	MT-TFH	mitochondrially encoded transcription factor binding site H	Approved	MTTFH		mitochondria			other	region	1973	Mitochondrially encoded regions
HGNC:7483	MT-TFL	mitochondrially encoded transcription factor binding site L	Approved	MTTFL		mitochondria			other	region	1973	Mitochondrially encoded regions
HGNC:7484	MT-TFX	mitochondrially encoded transcription factor binding site X	Approved	MTTFX		mitochondria			other	region	1973	Mitochondrially encoded regions
HGNC:7485	MT-TFY	mitochondrially encoded transcription factor binding site Y	Approved	MTTFY		mitochondria			other	region	1973	Mitochondrially encoded regions
HGNC:7486	MT-TG	mitochondrially encoded tRNA-Gly (GGN)	Approved	MTTG	trnG	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7487	MT-TH	mitochondrially encoded tRNA-His (CAU/C)	Approved	MTTH	trnH	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7488	MT-TI	mitochondrially encoded tRNA-Ile (AUU/C)	Approved	MTTI	trnI	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7489	MT-TK	mitochondrially encoded tRNA-Lys (AAA/G)	Approved	MERRF, MTTK	trnK	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7490	MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1	Approved	MTTL1	TRNL1	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7491	MT-TL2	mitochondrially encoded tRNA-Leu (CUN) 2	Approved	MTTL2	TRNL2	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7492	MT-TM	mitochondrially encoded tRNA-Met (AUA/G)	Approved	MTTM	trnM	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7493	MT-TN	mitochondrially encoded tRNA-Asn (AAU/C)	Approved	MTTN	trnN	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7494	MT-TP	mitochondrially encoded tRNA-Pro (CCN)	Approved	MTTP	trnP	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7495	MT-TQ	mitochondrially encoded tRNA-Gln (CAA/G)	Approved	MTTQ	trnQ	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7496	MT-TR	mitochondrially encoded tRNA-Arg (CGN)	Approved	MTTR	trnR	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7497	MT-TS1	mitochondrially encoded tRNA-Ser (UCN) 1	Approved	MTTS1	TRNS1	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7498	MT-TS2	mitochondrially encoded tRNA-Ser (AGU/C) 2	Approved	MTTS2	TRNS2, RP8	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7499	MT-TT	mitochondrially encoded tRNA-Thr (ACN)	Approved	MTTT, LIMM	trnT	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7500	MT-TV	mitochondrially encoded tRNA-Val (GUN)	Approved	MTTV	trnV	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7501	MT-TW	mitochondrially encoded tRNA-Trp (UGA/G)	Approved	MTTW	trnW	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
HGNC:7502	MT-TY	mitochondrially encoded tRNA-Tyr (UAU/C)	Approved	MTTY	trnY	mitochondria			non-coding RNA	RNA, transfer	843	Mitochondrially encoded transfer RNAs
